consumption,meter_id,reading_date_time
66.642,8718,2018-12-01 00:00
57.8,12779,2018-12-01 00:00
89.1447,12849,2018-12-01 00:00
83.7,8752,2018-12-01 00:00
78.6502,12797,2018-12-01 00:00
70.1,8726,2018-12-01 00:00
67.153,8742,2018-12-01 00:00
69.4,12827,2018-12-01 00:00
119.7778,8725,2018-12-01 00:00
97.3,12793,2018-12-01 00:00
44.835,8761,2018-12-01 00:00
61.3,12864,2018-12-01 00:00
200.1254,8731,2018-12-01 00:00
72.2,12805,2018-12-01 00:00
109.7092,12853,2018-12-01 00:00
58.1,8754,2018-12-01 00:00
61.1,8719,2018-12-01 00:00
0,12781,2018-12-01 00:00
131.9423,12831,2018-12-01 00:00
96.5,8743,2018-12-01 00:00
89.3365,8732,2018-12-01 00:00
88,12807,2018-12-01 00:00
66.642,53364,2018-12-01 00:00
58.9,12570,2018-12-01 00:00
180.2298,12811,2018-12-01 00:00
91.5,8733,2018-12-01 00:00
0,12825,2018-12-01 00:00
55.5,8740,2018-12-01 00:00
0,8763,2018-12-01 00:00
122.488,12870,2018-12-01 00:00
46.7,8762,2018-12-01 00:00
88.6667,8749,2018-12-01 00:00
77.1,12841,2018-12-01 00:00
65.6667,8745,2018-12-01 00:00
49.2,12833,2018-12-01 00:00
221.004,8722,2018-12-01 00:00
93.9,12787,2018-12-01 00:00
112.959,12862,2018-12-01 00:00
87.7,8759,2018-12-01 00:00
66.9825,12858,2018-12-01 00:00
68.8,8757,2018-12-01 00:00
120.389,12791,2018-12-01 00:00
75.2,8723,2018-12-01 00:00
213.2699,8729,2018-12-01 00:00
79.2,12801,2018-12-01 00:00
112.49,12821,2018-12-01 00:00
54.8,8738,2018-12-01 00:00
78.473,8766,2018-12-01 00:00
61.3,12878,2018-12-01 00:00
92.683,8751,2018-12-01 00:00
50.8,12845,2018-12-01 00:00
77.5979,12817,2018-12-01 00:00
70.1,8736,2018-12-01 00:00
63.8685,12874,2018-12-01 00:00
43.7,14933,2018-12-01 00:00
28.6,14939,2018-12-01 00:00
72.3,14937,2018-12-01 00:00
78.8733,8756,2018-12-01 00:00
71.1,14941,2018-12-01 00:00
55.961,83336,2018-12-01 00:00
48.2,83335,2018-12-01 00:00
57.3,195634,2018-12-01 00:00
33.321,8718,2018-12-01 00:30
53.8,12779,2018-12-01 00:30
66.8585,12849,2018-12-01 00:30
83.5,8752,2018-12-01 00:30
78.6502,12797,2018-12-01 00:30
62.6,8726,2018-12-01 00:30
44.769,8742,2018-12-01 00:30
67.2,12827,2018-12-01 00:30
76.2222,8725,2018-12-01 00:30
93.6,12793,2018-12-01 00:30
44.835,8761,2018-12-01 00:30
58.1,12864,2018-12-01 00:30
189.0079,8731,2018-12-01 00:30
68,12805,2018-12-01 00:30
65.8253,12853,2018-12-01 00:30
55.9,8754,2018-12-01 00:30
63,8719,2018-12-01 00:30
0,12781,2018-12-01 00:30
98.9573,12831,2018-12-01 00:30
93.5,8743,2018-12-01 00:30
89.3365,8732,2018-12-01 00:30
80.8,12807,2018-12-01 00:30
66.642,53364,2018-12-01 00:30
61.3,12570,2018-12-01 00:30
180.2298,12811,2018-12-01 00:30
95,8733,2018-12-01 00:30
0,12825,2018-12-01 00:30
52.3,8740,2018-12-01 00:30
0,8763,2018-12-01 00:30
111.3532,12870,2018-12-01 00:30
44.6,8762,2018-12-01 00:30
88.6667,8749,2018-12-01 00:30
75.8,12841,2018-12-01 00:30
54.7222,8745,2018-12-01 00:30
47.7,12833,2018-12-01 00:30
143.653,8722,2018-12-01 00:30
86.9,12787,2018-12-01 00:30
112.959,12862,2018-12-01 00:30
85.4,8759,2018-12-01 00:30
44.6557,12858,2018-12-01 00:30
69.6,8757,2018-12-01 00:30
109.444,12791,2018-12-01 00:30
78.4,8723,2018-12-01 00:30
246.9444,8729,2018-12-01 00:30
79.2,12801,2018-12-01 00:30
134.988,12821,2018-12-01 00:30
51.7,8738,2018-12-01 00:30
89.6831,8766,2018-12-01 00:30
59.1,12878,2018-12-01 00:30
92.683,8751,2018-12-01 00:30
47.3,12845,2018-12-01 00:30
11.0859,12817,2018-12-01 00:30
65.3,8736,2018-12-01 00:30
63.8685,12874,2018-12-01 00:30
41.7,14933,2018-12-01 00:30
25.9,14939,2018-12-01 00:30
67.6,14937,2018-12-01 00:30
90.1406,8756,2018-12-01 00:30
64.4,14941,2018-12-01 00:30
44.769,83336,2018-12-01 00:30
44.5,83335,2018-12-01 00:30
55.2,195634,2018-12-01 00:30
99.963,8718,2018-12-01 01:00
58.5,12779,2018-12-01 01:00
111.4309,12849,2018-12-01 01:00
84.4,8752,2018-12-01 01:00
44.9428,12797,2018-12-01 01:00
59.8,8726,2018-12-01 01:00
89.538,8742,2018-12-01 01:00
65.5,12827,2018-12-01 01:00
98,8725,2018-12-01 01:00
93.6,12793,2018-12-01 01:00
56.0432,8761,2018-12-01 01:00
56.7,12864,2018-12-01 01:00
166.7717,8731,2018-12-01 01:00
72,12805,2018-12-01 01:00
109.7092,12853,2018-12-01 01:00
54.9,8754,2018-12-01 01:00
66.3,8719,2018-12-01 01:00
0,12781,2018-12-01 01:00
120.9477,12831,2018-12-01 01:00
93.5,8743,2018-12-01 01:00
55.8355,8732,2018-12-01 01:00
